
Positions 
11:40:04,11:43:38,PersianCult
11:43:38,11:45:31,JerusalemPhoto
11:45:31,11:45:46,PersianCult
11:45:46,11:46:20,JerusalemPhoto
11:46:20,11:48:17,PersianCult
11:48:17,11:48:42,JerusalemPhoto
11:48:42,11:52:36,MaterialCultures
11:52:36,12:01:01,DuckBoxIvories
12:01:01,12:03:08,EntranceReubenHecht
12:03:08,12:03:57,RomanDivinitiesStatuettes
12:03:57,12:03:59,JewishCoffins
12:03:59,12:04:03,MenorahJewishEpigraphy
12:04:03,12:04:05,JewishCoffins
12:04:05,12:04:24,MenorahJewishEpigraphy
12:04:24,12:04:26,JewishCoffins
12:04:27,12:06:47,MenorahJewishEpigraphy
12:06:47,12:07:22,JewishCoffins
12:07:22,12:07:50,Anthropoids
12:07:50,12:08:57,JewishCoffins
12:08:57,12:09:02,MenorahJewishEpigraphy
12:09:02,12:09:57,JewishCoffins
12:09:57,12:10:13,LeadCoffinMosaic
12:10:13,12:11:37,MenorahJewishEpigraphy
12:11:37,12:11:44,LeadCoffinMosaic
12:11:44,12:14:47,ChalcolitePeriod
12:14:47,12:19:46,MaterialCultures
12:19:46,12:19:51,ReligionAndCult
12:19:51,12:20:09,EverydayPottery
12:20:09,12:20:56,ReligionAndCult
12:20:56,12:21:00,EverydayPottery
12:21:00,12:21:03,WoodenTools
12:21:03,12:23:07,PhoenicianWriting1
12:23:07,12:23:49,WoodenTools
12:23:49,12:25:51,GlassOvenVessels
12:25:51,12:27:21,MosaicfromSynagogue
12:27:21,12:27:55,GlassOvenVessels
12:27:55,12:28:19,WoodenTools
12:28:19,12:28:21,ReligionAndCult
12:28:21,12:28:42,EverydayPottery
12:28:42,12:28:48,WoodenTools
12:28:48,12:28:50,PhoenicianWriting1
12:28:50,12:28:53,ReligionAndCult
12:28:53,12:29:00,GlassOvenVessels
12:29:00,12:29:03,CraftsAndArts
12:29:04,12:29:07,EverydayPottery
12:29:07,12:29:38,PhoenicianWriting1
12:29:40,12:29:45,ReligionAndCult
12:29:45,12:29:50,CraftsAndArts
12:29:50,12:29:53,GlassOvenVessels
12:29:53,12:30:03,ReligionAndCult
12:30:03,12:30:25,EverydayPottery

presentations 
11:40:54,11:42:13,PersianCult,310,System,5
12:13:32,12:14:31,ChalcolitePeriod,236,System,5

events 
11:40:29,chosenExhibit,92
11:52:36,return from screen
12:13:20,chosenExhibit,47
12:30:25,return from screen
