
Positions 
11:46:35,11:47:29,EntranceReubenHecht
11:49:45,11:50:22,SymbolsJewishMenorah
11:53:11,11:53:21,EntranceReubenHecht
11:53:21,11:53:29,SymbolsJewishMenorah
11:53:29,11:53:32,PersianCult
11:53:32,11:53:41,JerusalemPhoto
11:53:41,11:53:43,PersianCult
11:55:12,11:55:37,StoneVesselsBowl
11:56:17,11:56:22,GlassOvenVessels
11:56:25,11:56:30,MaterialCultures
11:56:31,11:56:40,Phoenicians
11:56:40,11:56:59,MaterialCultures
11:56:59,11:57:06,Phoenicians
11:57:22,11:57:32,MaterialCultures
11:57:56,11:58:05,Phoenicians
11:58:05,11:58:34,MaterialCultures
11:59:27,11:59:37,MuseumMotto
12:00:13,12:00:17,DuckBoxIvories
12:02:05,12:02:11,CanaaniteStelae
12:02:11,12:02:15,DuckBoxIvories
12:02:15,12:02:23,CanaaniteStelae
12:02:24,12:02:32,DuckBoxIvories
12:02:40,12:02:49,CanaaniteStelae
12:02:49,12:02:58,DuckBoxIvories
12:03:52,12:03:59,CanaaniteStelae
12:04:10,12:04:12,DuckBoxIvories
12:04:12,12:04:17,CanaaniteStelae
12:04:33,12:04:35,DuckBoxIvories
12:04:35,12:04:45,CanaaniteStelae
12:05:39,12:05:43,DuckBoxIvories
12:05:43,12:05:49,EntranceGallileeRebellion
12:12:10,12:12:16,DuckBoxIvories
12:12:16,12:12:21,BronzeTools
12:13:16,12:13:26,MaterialCultures
12:13:30,12:17:07,MosaicfromSynagogue
12:17:37,12:17:44,MaterialCultures
12:18:38,12:18:42,ImportedPottery
12:18:42,12:18:54,CraftsAndArts
12:18:56,12:19:16,BuildingMethodsAndFacilities
12:19:18,12:19:24,MaritimeCommerce
12:21:19,12:21:22,BurialTradition2
12:21:22,12:21:31,MaritimeCommerce
12:21:32,12:21:43,BuildingMethodsAndFacilities
12:21:43,12:21:53,PhoenicianWriting1
12:26:17,12:26:20,BurialTradition2
12:26:20,12:26:49,MaritimeCommerce
12:26:49,12:27:04,CraftsAndArts
12:27:23,12:27:30,Phoenicians
12:27:30,12:27:35,MaterialCultures
12:28:20,12:28:37,MaterialCultures
12:29:40,12:30:09,UpperFloorEntrance
12:30:54,12:31:59,UpperFloorEntrance
12:33:06,12:33:11,JewishCoffins
12:33:16,12:33:30,UpperFloorEntrance
12:34:07,12:34:13,OilLamps
12:34:15,12:34:30,Jerusalem
12:34:32,12:34:39,OilLamps
12:34:54,12:35:01,Jerusalem
12:36:55,12:37:42,Coins
12:37:42,12:37:48,Weights
12:42:22,12:42:37,Gems
12:42:37,12:42:51,Weights
12:42:51,12:43:01,Coins

presentations 
12:14:05,12:15:11,MosaicfromSynagogue,148,System,3,-3
12:15:38,12:16:43,MosaicfromSynagogue,149,System,5,-3
12:30:54,12:31:59,UpperFloorEntrance,304,System,5,-3

events 
11:50:20,chosenExhibit,41
11:54:26,chosenExhibit,91
11:54:27,return from screen
11:54:59,chosenExhibit,91
11:55:36,chosenExhibit,66
11:55:36,return from screen
12:13:48,chosenExhibit,67
12:30:37,chosenExhibit,85
