
Positions 
11:56:37,11:56:52,JerusalemPhoto
11:56:55,11:57:07,MaterialCultures
11:57:07,11:57:10,Phoenicians
11:57:10,11:57:14,MosaicfromSynagogue
11:57:35,11:57:39,ShipEntrance
11:57:39,11:57:41,ShipBack
11:57:41,11:57:43,ShipEntrance
11:57:43,11:59:08,ShipBack
11:59:09,11:59:35,ShipEntrance
11:59:35,11:59:37,ShipFront
11:59:37,11:59:45,ShipEntrance
12:01:33,12:01:35,EntranceGallileeRebellion
12:01:35,12:01:37,DuckBoxIvories
12:01:37,12:01:42,EntranceGallileeRebellion
12:01:42,12:01:45,DuckBoxIvories
12:02:28,12:02:32,CanaaniteStelae
12:02:34,12:02:37,DuckBoxIvories
12:02:37,12:02:40,CanaaniteStelae
12:02:40,12:02:44,DuckBoxIvories
12:03:14,12:03:20,EntranceGallileeRebellion
12:03:26,12:03:30,DuckBoxIvories
12:04:12,12:04:22,DuckBoxIvories
12:04:22,12:04:25,CanaaniteStelae
12:04:25,12:04:27,DuckBoxIvories
12:04:28,12:04:35,IvoryWomanPhoenician
12:04:39,12:04:44,CanaaniteStelae
12:05:28,12:05:31,IvoryWomanPhoenician
12:05:45,12:05:50,CanaaniteStelae
12:06:44,12:07:43,CanaaniteStelae
12:07:44,12:08:58,IvoryWomanPhoenician
12:08:58,12:09:02,LeadCoffinMosaic
12:10:07,12:10:11,RomanDivinitiesStatuettes
12:10:11,12:10:18,LeadCoffinMosaic
12:10:18,12:10:21,ChalcolitePeriod
12:10:51,12:11:01,UpperFloorEntrance
12:17:00,12:29:58,EntranceReubenHecht

presentations 
11:58:05,11:59:08,ShipBack,68,System,5,2
12:06:44,12:07:43,CanaaniteStelae,147,System,1,2

events 
11:56:15,chosenExhibit,41
11:56:15,return from screen
11:57:59,chosenExhibit,6
12:00:29,chosenExhibit,88
12:06:12,chosenExhibit,50
12:17:00,return from screen
