
Positions 
13:43:43,13:45:52,PersianCult
13:46:01,13:46:46,JerusalemPhoto
13:47:08,13:48:52,ChalcolitePeriod
13:49:46,13:49:50,LeadCoffinMosaic
13:49:56,13:50:01,JewishCoffins
13:50:10,13:50:15,RomanDivinitiesStatuettes
13:52:17,13:53:17,LeadCoffinMosaic
13:53:35,13:53:52,ClayAmphorae
13:54:42,13:55:50,ClayAmphorae
13:56:31,13:57:51,DuckBoxIvories
13:59:41,13:59:45,ShipEntrance
13:59:45,14:01:07,ShipFront
14:03:23,14:03:27,Pottery
14:03:27,14:03:32,ShipBack
14:03:36,14:04:03,ShipFront
14:05:30,14:05:37,ShipFront
14:05:39,14:05:42,ShipEntrance
14:08:03,14:08:08,CraftsAndArts
14:08:27,14:08:34,PhoenicianWriting1
14:09:03,14:10:37,CraftsAndArts
14:11:02,14:13:04,Phoenicians
14:17:53,14:18:06,Phoenicians
14:22:26,14:22:55,Phoenicians
14:22:56,14:23:05,PersianCult
14:23:12,14:23:20,EntranceReubenHecht

presentations 
13:44:13,13:45:52,PersianCult,314,System,5,3
13:46:19,13:46:46,JerusalemPhoto,137,User,3,3
13:47:44,13:48:52,ChalcolitePeriod,237,System,5,3
13:52:41,13:52:45,LeadCoffinMosaic,195,User,5,3
13:54:42,13:55:50,ClayAmphorae,166,System,5,3
13:56:57,13:57:51,DuckBoxIvories,151,System,5,3
13:59:56,14:01:07,ShipFront,58,System,5,3
14:09:32,14:10:37,CraftsAndArts,46,System,5,3
14:11:42,14:13:04,Phoenicians,163,System,1,3
14:17:53,14:18:06,Phoenicians,163,User,1,3
14:22:26,14:22:31,Phoenicians,163,User,1,3
14:22:49,14:22:55,Phoenicians,163,User,1,3

events 
13:44:06,chosenExhibit,93
13:44:06,return from screen
13:46:12,chosenExhibit,44
13:47:36,chosenExhibit,47
13:47:36,return from screen
13:50:04,chosenExhibit,62
13:50:10,open map
13:51:01,return from screen
13:51:01,getDirections
13:51:16,getDirections
13:51:16,return from screen
13:51:37,getDirections
13:51:37,open map
13:52:16,getDirections
13:52:38,chosenExhibit,63
13:54:31,chosenExhibit,52
13:54:31,return from screen
13:56:53,chosenExhibit,49
13:56:53,return from screen
13:59:53,chosenExhibit,2
13:59:53,return from screen
14:09:29,return from screen
14:09:29,chosenExhibit,35
14:11:24,chosenExhibit,89
14:11:24,open map
14:17:19,open map
14:17:28,open map
14:17:28,open map
14:17:34,open map
14:17:45,return from screen
14:17:45,getDirections
14:17:48,return from screen
14:18:11,open map
14:18:20,open map
14:19:00,open map
14:19:00,open map
14:19:10,return from screen
14:19:21,getDirections
14:19:21,open map
14:19:38,open map
14:19:52,open map
14:20:01,open map
14:20:01,return from screen
14:20:26,open map
14:20:26,getDirections
14:20:30,return from screen
14:20:32,open map
14:21:05,return from screen
14:21:25,getDirections
14:21:25,open map
14:21:38,return from screen
14:21:47,open map
14:21:50,return from screen
14:22:22,chosenExhibit,89
14:23:12,return from screen
